,20240422_neuron-adhered_10x_uncaged,20240509_Hs675Tfibroblasts_10x_caged,20240509_hela-adhered_10x_caged,20240515_DC-adhered_10x_caged,20240516_DC-adhered_10x_caged,20240624_mc38_10x_caged,20240624_mc38_10x_uncaged,20240625_mc38_10x_caged,20240703_neuron-adhered_10x_caged,20240704_neuron-adhered_10x_caged,20240905_u87-adhered_10x_caged,20240924_enteric-glia-adhered_10x_uncaged,20241212_preadipocytes-adhered_10x_uncaged,20250108_neuron-adhered_10x_uncaged,20250227_preadipocytes-adhered_10x_caged,20250305_neuron-adhered_10x_uncaged,20250820_c8d1a_astrocytes-adherent_10x_caged,20250917_moc22-adhered_10x_caged,20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x,231212_imr90_multichannel_overlay,240213_imr90_multichannel_overlay
20240422_neuron-adhered_10x_uncaged,0.0,0.9558011049723757,0.925414364640884,0.9019337016574586,0.8149171270718232,0.9102209944751382,0.8259668508287292,0.9558011049723757,0.33149171270718236,0.3121546961325967,0.9406077348066298,0.9171270718232044,0.994475138121547,0.27348066298342544,0.9806629834254144,0.08701657458563539,0.8964088397790055,0.93646408839779,0.7375690607734806,0.9848066298342542,0.9765193370165746
20240509_Hs675Tfibroblasts_10x_caged,0.9860159817351598,0.0,0.5610730593607306,0.8227739726027398,0.7517123287671232,0.8393264840182648,0.5833333333333333,0.39297945205479456,0.9794520547945206,0.9837328767123288,0.4794520547945206,0.5550799086757991,0.6715182648401826,0.9877283105022832,0.5390981735159817,0.9557648401826484,0.4740296803652968,0.8464611872146118,0.6929223744292237,0.36415525114155256,0.6718036529680365
20240509_hela-adhered_10x_caged,0.9916107382550335,0.8266219239373602,0.0,0.8373881431767338,0.7225950782997763,0.9423937360178971,0.7266498881431767,0.7961409395973155,0.9773489932885906,0.9842002237136466,0.6616331096196868,0.8269015659955257,0.9237975391498882,0.9904921700223713,0.9491051454138703,0.9656040268456376,0.7217561521252797,0.8118008948545861,0.6775727069351231,0.9320469798657718,0.9412751677852349
20240515_DC-adhered_10x_caged,0.9719846652904748,0.8861692716012975,0.631082276614568,0.0,0.03686228251253321,0.8006487761722205,0.4506045414332055,0.7979946918313182,0.8779121203184901,0.9156590976113241,0.5514597463874964,0.8097906222353288,0.9012090828664111,0.9545856679445591,0.9401356531996461,0.8979652020053082,0.3930993807136538,0.6723680330286051,0.5434974933647891,0.9324682984370393,0.9100560306694191
20240516_DC-adhered_10x_caged,0.9777576032682705,0.9198063247087305,0.7143289453775155,0.3434710243607202,0.0,0.917385383567862,0.6267211378423362,0.8692691783931004,0.9039188984717809,0.9311544863065517,0.6311090936601604,0.8464215463761537,0.9544560447874111,0.9738235739143593,0.9732183386291421,0.9137539718565593,0.6283855348766834,0.7420184596761992,0.6312604024814646,0.9621727946739295,0.951732486003934
20240624_mc38_10x_caged,0.7264705882352941,0.32352941176470584,0.08529411764705885,0.06617647058823528,0.030882352941176472,0.0,0.0,0.1926470588235294,0.5985294117647059,0.6676470588235295,0.05147058823529416,0.33235294117647063,0.4794117647058823,0.6970588235294117,0.5235294117647059,0.5602941176470588,0.026470588235294135,0.1367647058823529,0.014705882352941124,0.45147058823529407,0.3294117647058824
20240624_mc38_10x_uncaged,0.936723423838012,0.7319374137137598,0.3959963184537506,0.47031753336401294,0.26645190980211686,0.6208007363092498,0.0,0.5506212609295904,0.8601012425218592,0.8856419696272434,0.2742751955821445,0.5862862402208928,0.8343304187758859,0.9245283018867925,0.8660837551771744,0.864242982052462,0.4070409572020248,0.519788311090658,0.2075471698113207,0.8000460193281178,0.7963644730786931
20240625_mc38_10x_caged,0.9879372738238842,0.40108564535585045,0.4408926417370326,0.754724567752312,0.6272617611580218,0.755729794933655,0.36871733011660635,0.0,0.9650180940892642,0.9724567752312022,0.13530357860876563,0.39806996381182147,0.6001206272617612,0.9819059107358263,0.6903900281463611,0.9485323683152392,0.29191797346200243,0.7718134298351428,0.5156815440289506,0.5794129473260957,0.5880579010856454
20240703_neuron-adhered_10x_caged,0.5554106910039114,0.9889178617992177,0.9628422425032594,0.848109517601043,0.7548891786179922,0.9419817470664928,0.8116036505867015,0.9713168187744459,0.0,0.08083441981747064,0.9308996088657105,0.9289439374185137,0.9967405475880052,0.6297262059973925,0.9980443285528031,0.46153846153846156,0.8761408083441982,0.8904823989569752,0.7764015645371578,0.9928292046936115,0.9850065189048239
20240704_neuron-adhered_10x_caged,0.5639742673338098,0.9849892780557541,0.9614010007147963,0.8906361686919229,0.8162973552537527,0.9399571122230165,0.8506075768406004,0.9721229449606862,0.04145818441744098,0.0,0.9471050750536097,0.9378127233738385,0.9928520371694067,0.6047176554681916,0.9942816297355254,0.46247319513938523,0.8913509649749821,0.902072909220872,0.7848463187991422,0.9907076483202287,0.9799857040743388
