dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,BBOX,all,0.911,0.88,0.895,0.941,0.693
20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,BBOX,cell,0.934,0.89,0.912,0.956,0.72
20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,BBOX,cell-adhered,0.888,0.87,0.879,0.926,0.666
20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,SEGM,all,0.919,0.89,0.904,0.949,0.652
20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,SEGM,cell,0.939,0.89,0.914,0.96,0.74
20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,SEGM,cell-adhered,0.899,0.89,0.894,0.939,0.564
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,train_ds,BBOX,all,0.631,0.745,0.678,0.664,0.44
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,train_ds,BBOX,cell,0.412,0.61,0.492,0.422,0.327
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,train_ds,BBOX,cell-adhered,0.851,0.88,0.865,0.906,0.553
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,train_ds,SEGM,all,0.649,0.765,0.697,0.685,0.473
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,train_ds,SEGM,cell,0.412,0.61,0.492,0.424,0.343
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,train_ds,SEGM,cell-adhered,0.885,0.92,0.902,0.947,0.604
20240924_enteric-glia-adhered_10x_uncaged_4_class,train_ds,BBOX,all,0.887,0.885,0.886,0.939,0.763
20240924_enteric-glia-adhered_10x_uncaged_4_class,train_ds,BBOX,cell,0.862,0.87,0.866,0.925,0.744
20240924_enteric-glia-adhered_10x_uncaged_4_class,train_ds,BBOX,cell-adhered,0.913,0.9,0.906,0.952,0.782
20240924_enteric-glia-adhered_10x_uncaged_4_class,train_ds,SEGM,all,0.899,0.895,0.897,0.948,0.769
20240924_enteric-glia-adhered_10x_uncaged_4_class,train_ds,SEGM,cell,0.861,0.88,0.871,0.931,0.761
20240924_enteric-glia-adhered_10x_uncaged_4_class,train_ds,SEGM,cell-adhered,0.936,0.91,0.923,0.966,0.776
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.227,0.275,0.249,0.158,0.049
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.454,0.55,0.497,0.316,0.098
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,soma,0.0,0.0,0.0,0.0,0.0
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.181,0.205,0.192,0.096,0.028
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.361,0.41,0.384,0.192,0.056
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,soma,0.0,0.0,0.0,0.0,0.0
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,BBOX,all,0.911,0.88,0.895,0.941,0.693
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,BBOX,cell,0.934,0.89,0.912,0.956,0.72
