dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,BBOX,all,0.88,0.915,0.897,0.902,0.589
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,BBOX,cell,0.876,0.88,0.878,0.902,0.561
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,BBOX,soma,0.885,0.95,0.916,0.902,0.616
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,SEGM,all,0.857,0.895,0.875,0.858,0.554
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,SEGM,cell,0.856,0.85,0.853,0.857,0.512
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,SEGM,soma,0.858,0.94,0.897,0.858,0.597
20240509_hela-adhered_10x_caged_4_class,train_ds,BBOX,all,0.852,0.86,0.856,0.902,0.7
20240509_hela-adhered_10x_caged_4_class,train_ds,BBOX,cell,0.815,0.82,0.818,0.856,0.633
20240509_hela-adhered_10x_caged_4_class,train_ds,BBOX,cell-adhered,0.89,0.9,0.895,0.948,0.768
20240509_hela-adhered_10x_caged_4_class,train_ds,SEGM,all,0.857,0.865,0.861,0.905,0.691
20240509_hela-adhered_10x_caged_4_class,train_ds,SEGM,cell,0.817,0.82,0.819,0.857,0.642
20240509_hela-adhered_10x_caged_4_class,train_ds,SEGM,cell-adhered,0.897,0.91,0.904,0.953,0.74
20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,BBOX,all,0.931,0.905,0.918,0.962,0.768
20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,BBOX,cell,0.948,0.9,0.923,0.97,0.778
20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,BBOX,cell-adhered,0.914,0.91,0.912,0.955,0.759
20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,SEGM,all,0.937,0.915,0.926,0.968,0.705
20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,SEGM,cell,0.949,0.9,0.924,0.971,0.781
20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,SEGM,cell-adhered,0.926,0.93,0.928,0.965,0.629
20240515_DC-adhered_10x_caged_4_class,train_ds,BBOX,all,0.835,0.86,0.847,0.916,0.707
20240515_DC-adhered_10x_caged_4_class,train_ds,BBOX,cell,0.882,0.89,0.886,0.951,0.746
20240515_DC-adhered_10x_caged_4_class,train_ds,BBOX,cell-adhered,0.788,0.83,0.808,0.882,0.668
20240515_DC-adhered_10x_caged_4_class,train_ds,SEGM,all,0.84,0.86,0.85,0.919,0.697
20240515_DC-adhered_10x_caged_4_class,train_ds,SEGM,cell,0.884,0.89,0.887,0.952,0.75
20240515_DC-adhered_10x_caged_4_class,train_ds,SEGM,cell-adhered,0.795,0.83,0.812,0.886,0.644
20240516_DC-adhered_10x_caged_4_class,train_ds,BBOX,all,0.851,0.875,0.863,0.93,0.721
20240516_DC-adhered_10x_caged_4_class,train_ds,BBOX,cell,0.83,0.87,0.85,0.919,0.716
20240516_DC-adhered_10x_caged_4_class,train_ds,BBOX,cell-adhered,0.872,0.88,0.876,0.942,0.726
20240516_DC-adhered_10x_caged_4_class,train_ds,SEGM,all,0.855,0.875,0.865,0.932,0.715
20240516_DC-adhered_10x_caged_4_class,train_ds,SEGM,cell,0.833,0.87,0.851,0.92,0.719
20240516_DC-adhered_10x_caged_4_class,train_ds,SEGM,cell-adhered,0.876,0.88,0.878,0.944,0.711
20240624_mc38_10x_caged_4_class,train_ds,BBOX,all,0.86,0.825,0.842,0.885,0.662
20240624_mc38_10x_caged_4_class,train_ds,BBOX,cell,0.959,0.95,0.955,0.98,0.774
20240624_mc38_10x_caged_4_class,train_ds,BBOX,cell-adhered,0.76,0.7,0.729,0.791,0.551
20240624_mc38_10x_caged_4_class,train_ds,SEGM,all,0.859,0.82,0.839,0.88,0.651
20240624_mc38_10x_caged_4_class,train_ds,SEGM,cell,0.957,0.94,0.948,0.968,0.762
20240624_mc38_10x_caged_4_class,train_ds,SEGM,cell-adhered,0.76,0.7,0.729,0.792,0.54
20240624_mc38_10x_uncaged_4_class,train_ds,BBOX,all,0.886,0.895,0.89,0.939,0.728
20240624_mc38_10x_uncaged_4_class,train_ds,BBOX,cell,0.936,0.93,0.933,0.976,0.791
20240624_mc38_10x_uncaged_4_class,train_ds,BBOX,cell-adhered,0.835,0.86,0.847,0.902,0.665
20240624_mc38_10x_uncaged_4_class,train_ds,SEGM,all,0.89,0.9,0.895,0.944,0.726
20240624_mc38_10x_uncaged_4_class,train_ds,SEGM,cell,0.937,0.93,0.933,0.976,0.788
20240624_mc38_10x_uncaged_4_class,train_ds,SEGM,cell-adhered,0.843,0.87,0.856,0.911,0.665
