dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
231212_imr90_multichannel_overlay_4_class,train_ds,BBOX,all,0.934,0.915,0.924,0.959,0.799
231212_imr90_multichannel_overlay_4_class,train_ds,BBOX,cell,0.92,0.89,0.905,0.948,0.74
231212_imr90_multichannel_overlay_4_class,train_ds,BBOX,cell-adhered,0.948,0.94,0.944,0.969,0.858
231212_imr90_multichannel_overlay_4_class,train_ds,SEGM,all,0.937,0.92,0.928,0.96,0.778
231212_imr90_multichannel_overlay_4_class,train_ds,SEGM,cell,0.913,0.89,0.902,0.946,0.723
231212_imr90_multichannel_overlay_4_class,train_ds,SEGM,cell-adhered,0.961,0.95,0.955,0.974,0.832
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,BBOX,all,0.682,0.71,0.693,0.712,0.472
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,BBOX,cell,0.54,0.65,0.59,0.573,0.373
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,BBOX,cell-adhered,0.825,0.77,0.796,0.851,0.572
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,SEGM,all,0.714,0.74,0.724,0.743,0.498
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,SEGM,cell,0.54,0.65,0.59,0.574,0.384
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,SEGM,cell-adhered,0.887,0.83,0.857,0.911,0.612
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.369,0.395,0.382,0.353,0.16
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.738,0.79,0.763,0.706,0.32
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,soma,0.0,0.0,0.0,0.0,0.0
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.362,0.39,0.375,0.342,0.162
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.724,0.78,0.751,0.683,0.323
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,soma,0.0,0.0,0.0,0.0,0.0
