dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
20240516_DC-adhered_10x_caged_4_class,train_ds,BBOX,all,0.853,0.875,0.864,0.932,0.719
20240516_DC-adhered_10x_caged_4_class,train_ds,BBOX,cell,0.833,0.87,0.851,0.92,0.714
20240516_DC-adhered_10x_caged_4_class,train_ds,BBOX,cell-adhered,0.873,0.88,0.876,0.943,0.725
20240516_DC-adhered_10x_caged_4_class,train_ds,SEGM,all,0.851,0.88,0.865,0.933,0.711
20240516_DC-adhered_10x_caged_4_class,train_ds,SEGM,cell,0.836,0.87,0.853,0.921,0.714
20240516_DC-adhered_10x_caged_4_class,train_ds,SEGM,cell-adhered,0.866,0.89,0.878,0.945,0.708
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,BBOX,all,0.879,0.915,0.896,0.897,0.583
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,BBOX,cell,0.878,0.88,0.879,0.9,0.556
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,BBOX,soma,0.88,0.95,0.913,0.894,0.61
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,SEGM,all,0.855,0.89,0.872,0.847,0.555
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,SEGM,cell,0.853,0.85,0.852,0.851,0.518
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,SEGM,soma,0.858,0.93,0.892,0.843,0.592
20240703_neuron-adhered_10x_caged_4_class,train_ds,BBOX,all,0.902,0.86,0.88,0.927,0.64
20240703_neuron-adhered_10x_caged_4_class,train_ds,BBOX,cell,0.887,0.88,0.883,0.93,0.632
20240703_neuron-adhered_10x_caged_4_class,train_ds,BBOX,soma,0.917,0.84,0.877,0.925,0.647
20240703_neuron-adhered_10x_caged_4_class,train_ds,SEGM,all,0.898,0.86,0.878,0.922,0.634
20240703_neuron-adhered_10x_caged_4_class,train_ds,SEGM,cell,0.876,0.88,0.878,0.92,0.614
20240703_neuron-adhered_10x_caged_4_class,train_ds,SEGM,soma,0.92,0.84,0.878,0.924,0.654
231212_imr90_multichannel_overlay_4_class,train_ds,BBOX,all,0.944,0.91,0.927,0.955,0.803
231212_imr90_multichannel_overlay_4_class,train_ds,BBOX,cell,0.933,0.89,0.911,0.943,0.748
231212_imr90_multichannel_overlay_4_class,train_ds,BBOX,cell-adhered,0.956,0.93,0.943,0.966,0.859
231212_imr90_multichannel_overlay_4_class,train_ds,SEGM,all,0.95,0.91,0.929,0.957,0.78
231212_imr90_multichannel_overlay_4_class,train_ds,SEGM,cell,0.936,0.88,0.907,0.942,0.73
231212_imr90_multichannel_overlay_4_class,train_ds,SEGM,cell-adhered,0.963,0.94,0.952,0.972,0.829
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,BBOX,all,0.687,0.71,0.695,0.712,0.474
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,BBOX,cell,0.544,0.65,0.593,0.57,0.373
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,BBOX,cell-adhered,0.829,0.77,0.798,0.853,0.574
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,SEGM,all,0.715,0.74,0.724,0.74,0.496
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,SEGM,cell,0.541,0.65,0.59,0.568,0.378
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,SEGM,cell-adhered,0.889,0.83,0.858,0.911,0.613
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.879,0.915,0.896,0.897,0.583
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.878,0.88,0.879,0.9,0.556
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,soma,0.88,0.95,0.913,0.894,0.61
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.855,0.89,0.872,0.847,0.555
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.853,0.85,0.852,0.851,0.518
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,soma,0.858,0.93,0.892,0.843,0.592
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,BBOX,all,0.779,0.745,0.762,0.81,0.539
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,BBOX,cell,0.816,0.77,0.792,0.84,0.536
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.742,0.72,0.731,0.78,0.541
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,SEGM,all,0.775,0.755,0.765,0.816,0.483
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,SEGM,cell,0.819,0.77,0.794,0.848,0.54
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.732,0.74,0.736,0.784,0.426
20240509_hela-adhered_10x_caged_4_class,test_ds,BBOX,all,0.751,0.715,0.73,0.763,0.522
20240509_hela-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.73,0.6,0.659,0.674,0.424
20240509_hela-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.773,0.83,0.801,0.851,0.621
20240509_hela-adhered_10x_caged_4_class,test_ds,SEGM,all,0.755,0.725,0.736,0.77,0.497
20240509_hela-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.731,0.6,0.659,0.673,0.432
20240509_hela-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.78,0.85,0.814,0.867,0.562
20240515_DC-adhered_10x_caged_4_class,test_ds,BBOX,all,0.839,0.85,0.844,0.911,0.695
20240515_DC-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.891,0.88,0.886,0.95,0.73
20240515_DC-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.786,0.82,0.803,0.872,0.66
20240515_DC-adhered_10x_caged_4_class,test_ds,SEGM,all,0.841,0.855,0.848,0.915,0.689
20240515_DC-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.893,0.88,0.886,0.951,0.742
20240515_DC-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.79,0.83,0.809,0.879,0.637
20240516_DC-adhered_10x_caged_4_class,test_ds,BBOX,all,0.853,0.875,0.864,0.932,0.719
20240516_DC-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.833,0.87,0.851,0.92,0.714
20240516_DC-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.873,0.88,0.876,0.943,0.725
20240516_DC-adhered_10x_caged_4_class,test_ds,SEGM,all,0.851,0.88,0.865,0.933,0.711
20240516_DC-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.836,0.87,0.853,0.921,0.714
20240516_DC-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.866,0.89,0.878,0.945,0.708
20240624_mc38_10x_caged_4_class,test_ds,BBOX,all,0.797,0.76,0.778,0.802,0.558
20240624_mc38_10x_caged_4_class,test_ds,BBOX,cell,0.959,0.92,0.939,0.967,0.675
20240624_mc38_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.634,0.6,0.617,0.638,0.441
20240624_mc38_10x_caged_4_class,test_ds,SEGM,all,0.795,0.765,0.779,0.797,0.541
20240624_mc38_10x_caged_4_class,test_ds,SEGM,cell,0.95,0.92,0.935,0.954,0.669
20240624_mc38_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.639,0.61,0.624,0.641,0.413
20240624_mc38_10x_uncaged_4_class,test_ds,BBOX,all,0.787,0.815,0.801,0.849,0.574
20240624_mc38_10x_uncaged_4_class,test_ds,BBOX,cell,0.889,0.9,0.895,0.952,0.652
20240624_mc38_10x_uncaged_4_class,test_ds,BBOX,cell-adhered,0.684,0.73,0.706,0.747,0.497
20240624_mc38_10x_uncaged_4_class,test_ds,SEGM,all,0.797,0.825,0.81,0.861,0.568
20240624_mc38_10x_uncaged_4_class,test_ds,SEGM,cell,0.892,0.9,0.896,0.953,0.652
20240624_mc38_10x_uncaged_4_class,test_ds,SEGM,cell-adhered,0.702,0.75,0.725,0.769,0.484
20240625_mc38_10x_caged_4_class,test_ds,BBOX,all,0.772,0.78,0.776,0.834,0.569
20240625_mc38_10x_caged_4_class,test_ds,BBOX,cell,0.798,0.79,0.794,0.866,0.596
20240625_mc38_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.747,0.77,0.758,0.801,0.541
20240625_mc38_10x_caged_4_class,test_ds,SEGM,all,0.785,0.82,0.801,0.867,0.578
20240625_mc38_10x_caged_4_class,test_ds,SEGM,cell,0.801,0.8,0.801,0.875,0.615
20240625_mc38_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.768,0.84,0.802,0.859,0.541
20240703_neuron-adhered_10x_caged_4_class,test_ds,BBOX,all,0.902,0.86,0.88,0.927,0.64
20240703_neuron-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.887,0.88,0.883,0.93,0.632
20240703_neuron-adhered_10x_caged_4_class,test_ds,BBOX,soma,0.917,0.84,0.877,0.925,0.647
20240703_neuron-adhered_10x_caged_4_class,test_ds,SEGM,all,0.898,0.86,0.878,0.922,0.634
20240703_neuron-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.876,0.88,0.878,0.92,0.614
20240703_neuron-adhered_10x_caged_4_class,test_ds,SEGM,soma,0.92,0.84,0.878,0.924,0.654
20240704_neuron-adhered_10x_caged_4_class,test_ds,BBOX,all,0.91,0.87,0.889,0.918,0.606
20240704_neuron-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.904,0.86,0.881,0.911,0.578
20240704_neuron-adhered_10x_caged_4_class,test_ds,BBOX,soma,0.915,0.88,0.897,0.926,0.634
20240704_neuron-adhered_10x_caged_4_class,test_ds,SEGM,all,0.904,0.87,0.887,0.913,0.603
20240704_neuron-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.902,0.86,0.88,0.909,0.567
20240704_neuron-adhered_10x_caged_4_class,test_ds,SEGM,soma,0.907,0.88,0.893,0.916,0.64
20240905_u87-adhered_10x_caged_4_class,test_ds,BBOX,all,0.804,0.775,0.789,0.841,0.623
20240905_u87-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.745,0.73,0.738,0.789,0.56
20240905_u87-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.862,0.82,0.84,0.892,0.686
20240905_u87-adhered_10x_caged_4_class,test_ds,SEGM,all,0.814,0.795,0.804,0.854,0.573
