dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
20240703_neuron-adhered_10x_caged_4_class,train_ds,BBOX,all,0.895,0.865,0.88,0.927,0.632
20240703_neuron-adhered_10x_caged_4_class,train_ds,BBOX,cell,0.885,0.88,0.882,0.928,0.623
20240703_neuron-adhered_10x_caged_4_class,train_ds,BBOX,soma,0.905,0.85,0.877,0.927,0.641
20240703_neuron-adhered_10x_caged_4_class,train_ds,SEGM,all,0.901,0.855,0.877,0.922,0.627
20240703_neuron-adhered_10x_caged_4_class,train_ds,SEGM,cell,0.886,0.87,0.878,0.92,0.605
20240703_neuron-adhered_10x_caged_4_class,train_ds,SEGM,soma,0.916,0.84,0.876,0.925,0.649
20250917_moc22-adhered_10x_caged_4_class,train_ds,BBOX,all,0.749,0.745,0.746,0.802,0.631
20250917_moc22-adhered_10x_caged_4_class,train_ds,BBOX,cell,0.659,0.7,0.679,0.72,0.562
20250917_moc22-adhered_10x_caged_4_class,train_ds,BBOX,cell-adhered,0.839,0.79,0.814,0.883,0.701
20250917_moc22-adhered_10x_caged_4_class,train_ds,SEGM,all,0.754,0.75,0.751,0.805,0.637
20250917_moc22-adhered_10x_caged_4_class,train_ds,SEGM,cell,0.659,0.7,0.679,0.72,0.568
20250917_moc22-adhered_10x_caged_4_class,train_ds,SEGM,cell-adhered,0.849,0.8,0.824,0.891,0.705
20240509_hela-adhered_10x_caged_4_class,train_ds,BBOX,all,0.874,0.845,0.859,0.902,0.693
20240509_hela-adhered_10x_caged_4_class,train_ds,BBOX,cell,0.846,0.8,0.822,0.859,0.626
20240509_hela-adhered_10x_caged_4_class,train_ds,BBOX,cell-adhered,0.903,0.89,0.896,0.944,0.761
20240509_hela-adhered_10x_caged_4_class,train_ds,SEGM,all,0.876,0.85,0.863,0.904,0.686
20240509_hela-adhered_10x_caged_4_class,train_ds,SEGM,cell,0.846,0.8,0.822,0.86,0.641
20240509_hela-adhered_10x_caged_4_class,train_ds,SEGM,cell-adhered,0.906,0.9,0.903,0.949,0.732
240213_imr90_multichannel_overlay_4_class,train_ds,BBOX,all,0.909,0.885,0.897,0.943,0.783
