dataset,split_type,mAP50_95,experiment,train_datasets
20240422_neuron-adhered_10x_uncaged_4_class,train_ds,0.589,Baseline,
20240509_hela-adhered_10x_caged_4_class,train_ds,0.7,Baseline,
20240509_Hs675Tfibroblasts_10x_caged_4_class,train_ds,0.768,Baseline,
20240515_DC-adhered_10x_caged_4_class,train_ds,0.707,Baseline,
20240516_DC-adhered_10x_caged_4_class,train_ds,0.721,Baseline,
20240624_mc38_10x_caged_4_class,train_ds,0.662,Baseline,
20240624_mc38_10x_uncaged_4_class,train_ds,0.728,Baseline,
20240625_mc38_10x_caged_4_class,train_ds,0.689,Baseline,
20240703_neuron-adhered_10x_caged_4_class,train_ds,0.647,Baseline,
20240704_neuron-adhered_10x_caged_4_class,train_ds,0.647,Baseline,
20240905_u87-adhered_10x_caged_4_class,train_ds,0.73,Baseline,
20240924_enteric-glia-adhered_10x_uncaged_4_class,train_ds,0.83,Baseline,
20241212_preadipocytes-adhered_10x_uncaged_4_class,train_ds,0.449,Baseline,
20250108_neuron-adhered_10x_uncaged_4_class,train_ds,0.623,Baseline,
20250227_preadipocytes-adhered_10x_caged_4_class,train_ds,0.491,Baseline,
20250305_neuron-adhered_10x_uncaged_4_class,train_ds,0.728,Baseline,
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,train_ds,0.592,Baseline,
20250917_moc22-adhered_10x_caged_4_class,train_ds,0.643,Baseline,
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,train_ds,0.737,Baseline,
231212_imr90_multichannel_overlay_4_class,train_ds,0.813,Baseline,
240213_imr90_multichannel_overlay_4_class,train_ds,0.797,Baseline,
20240422_neuron-adhered_10x_uncaged_4_class,test_ds,0.589,Baseline,
20240509_hela-adhered_10x_caged_4_class,test_ds,0.7,Baseline,
20240509_Hs675Tfibroblasts_10x_caged_4_class,test_ds,0.768,Baseline,
20240515_DC-adhered_10x_caged_4_class,test_ds,0.707,Baseline,
20240516_DC-adhered_10x_caged_4_class,test_ds,0.721,Baseline,
20240624_mc38_10x_caged_4_class,test_ds,0.662,Baseline,
20240624_mc38_10x_uncaged_4_class,test_ds,0.728,Baseline,
20240625_mc38_10x_caged_4_class,test_ds,0.689,Baseline,
20240703_neuron-adhered_10x_caged_4_class,test_ds,0.647,Baseline,
20240704_neuron-adhered_10x_caged_4_class,test_ds,0.647,Baseline,
20240905_u87-adhered_10x_caged_4_class,test_ds,0.73,Baseline,
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,0.83,Baseline,
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,0.449,Baseline,
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,0.623,Baseline,
