Model,Dataset,Class,mAP@50,mAP@50-95,TP,FP,FN,Precision,Recall,F1
rf_detr_seg,20240703_neuron-adhered_10x_caged_4_class,all,0.8987242296846283,0.5834905314042591,,,,,,
rf_detr_seg,20240703_neuron-adhered_10x_caged_4_class,cell,0.9081813104397921,0.5639447010835943,22152.0,8232.0,1196.0,0.7290679304897314,0.9487750556792873,0.8245365889972456
rf_detr_seg,20240703_neuron-adhered_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240703_neuron-adhered_10x_caged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240703_neuron-adhered_10x_caged_4_class,soma,0.8892671489294645,0.6030363617249238,11755.0,3902.0,1053.0,0.7507823976496136,0.917785758900687,0.825926576497453
yolov26,20240703_neuron-adhered_10x_caged_4_class,all,0.8256551137478453,0.565782390689657,,,,,,
yolov26,20240703_neuron-adhered_10x_caged_4_class,cell,0.84013625298467,0.5682972347552546,20416.0,3287.0,2932.0,0.8613255706028773,0.8744217920164468,0.8678242757858493
yolov26,20240703_neuron-adhered_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240703_neuron-adhered_10x_caged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240703_neuron-adhered_10x_caged_4_class,soma,0.8111739745110207,0.5632675466240595,10645.0,1468.0,2163.0,0.8788078923470651,0.8311211742660837,0.8542995866939529
yolo,20240703_neuron-adhered_10x_caged_4_class,all,0.8548213572416083,0.5801930628648616,,,,,,
yolo,20240703_neuron-adhered_10x_caged_4_class,cell,0.863690477097191,0.575796702528867,20971.0,3840.0,2377.0,0.8452299383338036,0.8981925646736337,0.8709067879316431
yolo,20240703_neuron-adhered_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240703_neuron-adhered_10x_caged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
